[2024-04-26 01:03:09,438][main_GenHowTo.py][line:121][INFO] the model is loaded.
[2024-04-26 01:03:10,716][main_GenHowTo.py][line:141][INFO] Loading all_action_embeds and all_tstate_embeds from saved files...
[2024-04-26 01:03:10,720][main_GenHowTo.py][line:144][INFO] Loaded all_action_embeds and all_tstate_embeds from saved files.
[2024-04-26 01:03:10,721][main_GenHowTo.py][line:179][INFO] Got all the action and state prompts embeds.
[2024-04-26 01:03:10,721][main_GenHowTo.py][line:195][INFO] Starting training...
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  1  Train Loss:  2.118917465209961 time/batch:  4.54548978805542
######################
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  1189  Train Loss:  0.6468913842139874 time/batch:  0.05226545257664609
######################
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  2377  Train Loss:  0.6343523885178677 time/batch:  0.026403730438193905
######################
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  3565  Train Loss:  0.6286946913386796 time/batch:  0.01756914548084746
######################
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  4753  Train Loss:  0.6249192479771362 time/batch:  0.013669265989451666
######################
######################
# Within Epoch Stats:  Epoch:  0  # batch_seen:  5941  Train Loss:  0.621238595030561 time/batch:  0.01062456731984078
######################
[2024-04-26 01:08:31,864][main_GenHowTo.py][line:246][INFO] ****************************************************************************
[2024-04-26 01:08:31,865][main_GenHowTo.py][line:247][INFO] Train Loop Ended. epoch: 0 train_loss: 0.6212107553822309 epoch_time: 321.14268374443054
[2024-04-26 01:08:31,865][main_GenHowTo.py][line:248][INFO] evaluating....
[2024-04-26 01:08:59,874][main_GenHowTo.py][line:285][INFO] Evaliation done. valid_loss: 0.6300564716066842 time: 27.95424199104309
[2024-04-26 01:08:59,875][main_GenHowTo.py][line:297][INFO] Best model found on evaluation set. Saving the model....
[2024-04-26 01:09:06,364][main_GenHowTo.py][line:307][INFO] done.
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  1  Train Loss:  0.47885584831237793 time/batch:  3.0764667987823486
######################
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  1189  Train Loss:  0.6102593914614293 time/batch:  0.05222173434932057
######################
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  2377  Train Loss:  0.6073785507984908 time/batch:  0.026088926839286857
######################
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  3565  Train Loss:  0.6086767705175686 time/batch:  0.01820609853779283
######################
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  4753  Train Loss:  0.6087394051807142 time/batch:  0.014539180693816016
######################
######################
# Within Epoch Stats:  Epoch:  1  # batch_seen:  5941  Train Loss:  0.6091554307151054 time/batch:  0.012118037030705296
######################
[2024-04-26 01:14:47,184][main_GenHowTo.py][line:246][INFO] ****************************************************************************
[2024-04-26 01:14:47,185][main_GenHowTo.py][line:247][INFO] Train Loop Ended. epoch: 1 train_loss: 0.6091377260567804 epoch_time: 334.33615732192993
[2024-04-26 01:14:47,185][main_GenHowTo.py][line:248][INFO] evaluating....
[2024-04-26 01:15:13,114][main_GenHowTo.py][line:285][INFO] Evaliation done. valid_loss: 0.6247962083709374 time: 25.874674558639526
[2024-04-26 01:15:13,115][main_GenHowTo.py][line:297][INFO] Best model found on evaluation set. Saving the model....
[2024-04-26 01:15:19,736][main_GenHowTo.py][line:307][INFO] done.
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  1  Train Loss:  0.6577961444854736 time/batch:  3.1423282623291016
######################
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  1189  Train Loss:  0.6065095040204648 time/batch:  0.052294740163548036
######################
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  2377  Train Loss:  0.6091049651563996 time/batch:  0.026034565999019432
######################
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  3565  Train Loss:  0.6083914873476283 time/batch:  0.01769143441616235
######################
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  4753  Train Loss:  0.6078693552654767 time/batch:  0.013296747468482462
######################
######################
# Within Epoch Stats:  Epoch:  2  # batch_seen:  5941  Train Loss:  0.607186478309169 time/batch:  0.010586294456074844
######################
[2024-04-26 01:20:43,892][main_GenHowTo.py][line:246][INFO] ****************************************************************************
[2024-04-26 01:20:43,892][main_GenHowTo.py][line:247][INFO] Train Loop Ended. epoch: 2 train_loss: 0.6071630769488547 epoch_time: 317.53102231025696
[2024-04-26 01:20:43,892][main_GenHowTo.py][line:248][INFO] evaluating....
[2024-04-26 01:21:10,936][main_GenHowTo.py][line:285][INFO] Evaliation done. valid_loss: 0.6264024350080597 time: 26.987646102905273
######################
# Within Epoch Stats:  Epoch:  3  # batch_seen:  1  Train Loss:  0.7885157465934753 time/batch:  3.390603542327881
######################
######################
# Within Epoch Stats:  Epoch:  3  # batch_seen:  1189  Train Loss:  0.6093340557447695 time/batch:  0.0521072898219873
######################
######################
# Within Epoch Stats:  Epoch:  3  # batch_seen:  2377  Train Loss:  0.6067085500193785 time/batch:  0.026229320176268608
######################
######################
# Within Epoch Stats:  Epoch:  3  # batch_seen:  3565  Train Loss:  0.607715538825427 time/batch:  0.017378339326064016
######################
######################
# Within Epoch Stats:  Epoch:  3  # batch_seen:  4753  Train Loss:  0.6076569258288887 time/batch:  0.013491128285057089
######################
######################
