
[2024-04-26 14:48:40,935][main_GenHowTo.py][line:121][INFO] the model is loaded.
[2024-04-26 14:48:43,469][main_GenHowTo.py][line:141][INFO] Loading all_action_embeds and all_tstate_embeds from saved files...
[2024-04-26 14:48:43,473][main_GenHowTo.py][line:144][INFO] Loaded all_action_embeds and all_tstate_embeds from saved files.
[2024-04-26 14:48:43,475][main_GenHowTo.py][line:179][INFO] Got all the action and state prompts embeds.
[2024-04-26 14:48:43,475][main_GenHowTo.py][line:195][INFO] Starting training...
[2024-04-26 14:48:48,209][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:48:48,210][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 1Train Loss: 2.127077579498291time/batch: 4.733011484146118
[2024-04-26 14:48:48,210][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:50:46,050][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:50:46,051][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 1189Train Loss: 0.6438004532664438time/batch: 0.09910795325687495
[2024-04-26 14:50:46,051][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:52:42,291][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:52:42,292][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 2377Train Loss: 0.6302457623337315time/batch: 0.04890209112941692
[2024-04-26 14:52:42,293][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:54:39,707][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:54:39,708][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 3565Train Loss: 0.6277568460263176time/batch: 0.032935395849369685
[2024-04-26 14:54:39,708][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:56:30,600][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:56:30,601][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 4753Train Loss: 0.6269820504205592time/batch: 0.02333079236145148
[2024-04-26 14:56:30,601][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:58:21,519][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:58:21,519][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 0# batch_seen: 5941Train Loss: 0.6259225606165878time/batch: 0.018669857037346325
[2024-04-26 14:58:21,519][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 14:58:22,495][main_GenHowTo.py][line:246][INFO] ****************************************************************************
[2024-04-26 14:58:22,496][main_GenHowTo.py][line:247][INFO] Train Loop Ended. epoch: 0 train_loss: 0.6259178060879013 epoch_time: 579.0199222564697
[2024-04-26 14:58:22,497][main_GenHowTo.py][line:248][INFO] evaluating....
[2024-04-26 14:58:59,472][main_GenHowTo.py][line:285][INFO] Evaliation done. valid_loss: 0.6284331501565257 time: 36.91740679740906
[2024-04-26 14:58:59,473][main_GenHowTo.py][line:298][INFO] Best model found on evaluation set. Saving the model....
[2024-04-26 14:59:11,432][main_GenHowTo.py][line:308][INFO] done.
[2024-04-26 14:59:27,454][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 14:59:27,455][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 1Train Loss: 0.54033362865448time/batch: 3.1820051670074463
[2024-04-26 14:59:27,456][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:01:16,865][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:01:16,866][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 1189Train Loss: 0.6135365901322201time/batch: 0.09201807751186361
[2024-04-26 15:01:16,866][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:03:08,531][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:03:08,532][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 2377Train Loss: 0.6160345124405976time/batch: 0.04697713342393001
[2024-04-26 15:03:08,532][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:05:05,524][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:05:05,525][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 3565Train Loss: 0.6184411199112928time/batch: 0.03281679949285606
[2024-04-26 15:05:05,525][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:06:56,686][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:06:56,687][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 4753Train Loss: 0.6174910475887702time/batch: 0.023387607162735625
[2024-04-26 15:06:56,687][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:08:51,457][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:08:51,457][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 1# batch_seen: 5941Train Loss: 0.6165766047971896time/batch: 0.01931812959454955
[2024-04-26 15:08:51,457][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:08:52,558][main_GenHowTo.py][line:246][INFO] ****************************************************************************
[2024-04-26 15:08:52,558][main_GenHowTo.py][line:247][INFO] Train Loop Ended. epoch: 1 train_loss: 0.6165828646001732 epoch_time: 568.2860629558563
[2024-04-26 15:08:52,559][main_GenHowTo.py][line:248][INFO] evaluating....
[2024-04-26 15:09:30,342][main_GenHowTo.py][line:285][INFO] Evaliation done. valid_loss: 0.6287962232047618 time: 37.7256920337677
[2024-04-26 15:09:46,527][main_GenHowTo.py][line:228][INFO] ######################
[2024-04-26 15:09:46,528][main_GenHowTo.py][line:229][INFO] # Within Epoch Stats: Epoch: 2# batch_seen: 1Train Loss: 0.7487939596176147time/batch: 3.2452142238616943
[2024-04-26 15:09:46,528][main_GenHowTo.py][line:231][INFO] ######################
[2024-04-26 15:11:36,104][main_GenHowTo.py][line:228][INFO] ######################
